127.0.0.1 - - [09/Sep/2019:11:41:09 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:12 +0530] "GET /HomeStay/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:14 +0530] "GET /HomeStay/helloworld HTTP/1.1" 200 20346
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:14 +0530] "GET /HomeStay/jsp/css/icomoon_style.css HTTP/1.1" 200 79820
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:14 +0530] "GET /HomeStay/jsp/css/style.css HTTP/1.1" 200 42576
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:15 +0530] "GET /HomeStay/jsp/css/bootstrap.min.css HTTP/1.1" 200 160307
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:15 +0530] "GET /HomeStay/jsp/css/magnific-popup.css HTTP/1.1" 200 6950
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:15 +0530] "GET /HomeStay/jsp/css/jquery-ui.css HTTP/1.1" 200 21738
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:15 +0530] "GET /HomeStay/jsp/css/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:15 +0530] "GET /HomeStay/jsp/css/owl.theme.default.min.css HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:15 +0530] "GET /HomeStay/jsp/css/bootstrap-datepicker.css HTTP/1.1" 200 17147
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:15 +0530] "GET /HomeStay/jsp/css/userregister.css HTTP/1.1" 200 2772
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:15 +0530] "GET /HomeStay/jsp/fonts/flaticon/flaticon.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:15 +0530] "GET /HomeStay/css/aos.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:15 +0530] "GET /HomeStay/css/style.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:15 +0530] "GET /HomeStay/jsp/images/img13.jpg HTTP/1.1" 200 716990
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:15 +0530] "GET /HomeStay/jsp/js/jquery-3.3.1.min.js HTTP/1.1" 200 86926
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:15 +0530] "GET /HomeStay/jsp/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 200 11421
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:16 +0530] "GET /HomeStay/jsp/js/jquery-ui.js HTTP/1.1" 200 45799
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:16 +0530] "GET /HomeStay/jsp/js/jquery.easing.1.3.js HTTP/1.1" 200 8111
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:16 +0530] "GET /HomeStay/jsp/js/popper.min.js HTTP/1.1" 200 20336
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:16 +0530] "GET /HomeStay/jsp/js/bootstrap.min.js HTTP/1.1" 200 51039
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:16 +0530] "GET /HomeStay/jsp/js/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:16 +0530] "GET /HomeStay/jsp/js/jquery.stellar.min.js HTTP/1.1" 200 12597
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:16 +0530] "GET /HomeStay/jsp/js/jquery.countdown.min.js HTTP/1.1" 200 5339
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:16 +0530] "GET /HomeStay/jsp/css/fonts/icomoon.eot?10si43 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:16 +0530] "GET /HomeStay/jsp/js/jquery.magnific-popup.min.js HTTP/1.1" 200 20216
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:16 +0530] "GET /HomeStay/jsp/images/background_1.jpg HTTP/1.1" 200 3345269
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:16 +0530] "GET /HomeStay/jsp/js/bootstrap-datepicker.min.js HTTP/1.1" 200 34172
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:16 +0530] "GET /HomeStay/jsp/images/img_12.jpg HTTP/1.1" 200 385388
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:16 +0530] "GET /HomeStay/jsp/js/aos.js HTTP/1.1" 200 14244
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:16 +0530] "GET /HomeStay/jsp/images/img_14.jfif HTTP/1.1" 200 7094
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:16 +0530] "GET /HomeStay/jsp/js/main.js HTTP/1.1" 200 8184
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:17 +0530] "GET /HomeStay/jsp/images/img_15.jpg HTTP/1.1" 200 75237
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:17 +0530] "GET /HomeStay/jsp/css/fonts/icomoon.ttf?10si43 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Sep/2019:11:41:17 +0530] "GET /HomeStay/jsp/css/fonts/icomoon.woff?10si43 HTTP/1.1" 404 992
